gene,f_score,p_value
231803_at,1.1355275071674225,0.34290601004716753
244534_at,1.1355055328091446,0.3429161552642966
1565265_at,1.1355012955822972,0.3429181115540684
221089_at,1.1354379195455884,0.34294737280282594
210979_at,1.1351617578796664,0.34307490301405646
1555662_s_at,1.1349858134603712,0.3431561737562918
1561060_at,1.1347323928015849,0.34327325957346894
234508_at,1.1343996150345903,0.34342706013595975
1562038_at,1.13428627880576,0.3434794539394237
1552755_at,1.1342673108330086,0.343488223220269
1557779_at,1.1341443422857895,0.343545078567663
240227_at,1.1341441957452048,0.34354514632633126
240401_at,1.134135400598258,0.343549213120624
218187_s_at,1.1336702640064915,0.34376434453754334
236397_at,1.133543628232419,0.34382293438119205
233078_at,1.1334624697131503,0.34386048785445095
243723_at,1.1331410464066043,0.3440092492862205
221094_s_at,1.1331301861703045,0.34401427655727956
206963_s_at,1.1330571602810608,0.3440480822692816
244702_at,1.1330148326014178,0.344067678181227
1558775_s_at,1.13290183116324,0.34411999753849404
1564746_at,1.1327308745922053,0.34419916242897003
1554804_a_at,1.1327162840225884,0.34420591958188035
1561225_at,1.1325002794299046,0.3443059679508737
240435_at,1.132499233151482,0.34430645262134413
216966_at,1.1324297059833135,0.34433866114534684
235689_at,1.1323668444358763,0.34436778395183
1552526_at,1.1322462627816405,0.3444236532941441
1569206_at,1.132043699082295,0.3445175243565647
232082_x_at,1.131915776822797,0.3445768163136289
218241_at,1.1318880469509998,0.3445896702157637
219318_x_at,1.131652473933338,0.3446988836447069
240548_at,1.1315372603016152,0.3447523079372536
215915_at,1.1314507767664463,0.3447924146327671
1552856_at,1.1314417402566637,0.34479660553137714
215790_at,1.1312710368189702,0.34487578123730905
1560309_s_at,1.131228773717897,0.3448953860309234
1561871_at,1.131140576496649,0.34493630146869847
1562413_at,1.1310646358218677,0.3449715341939667
229605_at,1.131013768572068,0.3449951357451368
201864_at,1.130950985365397,0.34502426793428603
222004_s_at,1.130809309305581,0.34509001483367385
221324_at,1.1306842411896558,0.3451480631421789
220354_at,1.1306777322335135,0.34515108438722036
239129_at,1.1306111935482794,0.34518197072294726
240682_at,1.1305952456261128,0.345189373865575
226788_at,1.1304664184958926,0.3452491811600312
236505_at,1.1302469804921393,0.3453510737050545
226961_at,1.1302139011935048,0.3453664356983604
208292_at,1.1301647582053074,0.34538925869189624
1554920_at,1.1300497244522485,0.34544268753927837
1570291_at,1.129844481805898,0.3455380319223806
216542_x_at,1.1296883080129778,0.3456105961431864
207644_at,1.1296223742614369,0.34564123521091483
239929_at,1.1288517177051554,0.3459995210747919
241200_x_at,1.128827326791082,0.3460108656402275
214242_at,1.1286771637592155,0.34608071537221063
233505_at,1.128578326023088,0.34612669699663534
216463_at,1.1283616407246178,0.3462275216511731
1557409_at,1.1283387385881574,0.3462381795312013
217144_at,1.1281748014906234,0.34631447819542155
240762_at,1.1281272454739952,0.3463366140321638
227463_at,1.1280283501338688,0.34638265044360844
1553811_at,1.1280070936018918,0.3463925461520366
207086_x_at,1.1279843934125586,0.3464031141935948
240621_at,1.1279514650712832,0.34641844440845926
213648_at,1.1279429150657787,0.34642242506529575
1560102_at,1.1278945341906748,0.3464449506322946
219021_at,1.1274367465347555,0.34665815082439866
1557849_at,1.1274025358338842,0.34667408771394514
211196_at,1.1273453594908045,0.34670072438189925
234903_at,1.1272723660728645,0.3467347321756821
239543_s_at,1.1272543482438082,0.34674312714396205
1564060_at,1.1270236042668869,0.34685065145302607
230299_s_at,1.1267391909225415,0.34698322285544514
1562447_a_at,1.1266991410085871,0.3470018943594039
1553769_at,1.126541407516684,0.3470754386684902
211642_at,1.1264648692885686,0.3471111297532045
1559848_at,1.126307824870214,0.3471843716980529
217837_s_at,1.1262218972356108,0.34722445176937633
1555209_at,1.1261083144768707,0.34727743712850345
228901_at,1.1259113216846972,0.347369348293787
1559132_at,1.1258515781406417,0.3473972268622798
234278_at,1.125726311847746,0.3474556867619395
203299_s_at,1.1256121756408972,0.3475089594564314
206652_at,1.1254809977307638,0.3475701945994259
1556257_at,1.1253901940075244,0.3476125878666328
1557796_at,1.1253495769743336,0.34763155199675044
234581_at,1.1252929017417101,0.3476580151356522
227418_at,1.1252725664006904,0.34766751063831725
210084_x_at,1.1249359749868668,0.34782471155141825
233349_at,1.124786370817599,0.347894601097088
1563671_at,1.1247517360982129,0.3479107828040155
1567627_at,1.1247339309441005,0.3479191018008208
1552278_a_at,1.124235798460527,0.34815190753440406
1564545_a_at,1.1241956262765893,0.3481706878622912
230553_at,1.1239000105729868,0.3483089125563183
202167_s_at,1.123529678380263,0.34848213694814795
230545_at,1.1230199336916307,0.3487206877845868
207718_x_at,1.1227422542203875,0.34885069289718623
232335_at,1.122631683307205,0.3489024715136044
1568820_a_at,1.1222597148655182,0.3490767047768507
237785_at,1.1221249437408298,0.34913985036681877
206264_at,1.1221014312773134,0.3491508678440045
211242_x_at,1.1220184968324025,0.3491897315688722
226816_s_at,1.1218171227171005,0.34928411181601465
1558996_at,1.1218021686260549,0.3492911213510277
